date,portfolio_value,cash,n_positions,leverage,drawdown,regime_score,crash_active,max_positions,above_sma_today
2022-11-01,390083.7460208858,390083.7460208858,0,1.0,-0.07002666208209143,0.0,False,1,False
2022-11-02,390159.59563816764,390159.59563816764,0,1.0,-0.06984583393305181,0.0,False,1,False
2022-11-03,390235.4600039862,390235.4600039862,0,1.0,-0.0696649706229833,0.0,False,1,False
2022-11-04,390311.33912120917,390311.33912120917,0,1.0,-0.06948407214504881,0.0,False,1,False
2022-11-07,390387.23299270496,390387.23299270496,0,1.0,-0.06930313849241042,0.0,False,1,False
2022-11-08,390463.14162134245,390463.14162134245,0,1.0,-0.06912216965822839,0.0,False,1,False
2022-11-09,390539.06500999106,390539.06500999106,0,1.0,-0.06894116563566187,0.0,False,1,False
2022-11-10,390615.00316152076,390615.00316152076,0,1.0,-0.06876012641786879,0.0,False,1,False
2022-11-11,390667.8595788022,37.715486242377665,1,1.0,-0.06857905199800564,1.0,False,1,True
2022-11-14,386527.2425193026,386527.2425193026,0,1.0,-0.07827125564776359,0.0,False,1,False
2022-11-15,386602.4005942369,386602.4005942369,0,1.0,-0.07832631173397053,0.0,False,1,False
2022-11-16,386677.57328324136,386677.57328324136,0,1.0,-0.07814709740569654,0.0,False,1,False
2022-11-17,386752.7605891575,386752.7605891575,0,1.0,-0.07796784823019205,0.0,False,1,False
2022-11-18,386804.98501482763,27.828699977777433,1,1.0,-0.07778856420068132,1.0,False,1,True
2022-11-21,383873.0365427545,383873.0365427545,0,1.0,-0.08460048538896546,0.0,False,1,False
2022-11-22,383925.0160220823,49.55377614113968,1,1.0,-0.08465526230386637,1.0,False,1,True
2022-11-23,388140.87448490085,49.56341159761157,1,1.0,-0.07447863146492474,1.0,False,1,True
2022-11-25,390131.7174047016,49.573048927644436,1,1.0,-0.06973146921326889,1.0,False,1,True
2022-11-28,385096.1291473296,49.58268813160259,1,1.0,-0.08173882262318158,1.0,False,1,True
2022-11-29,386208.6342107711,49.5923292098504,1,1.0,-0.07908605580492012,1.0,False,1,True
2022-11-30,393059.38276058435,49.60197216275231,1,1.0,-0.06275045513572178,1.0,False,1,True
2022-12-01,396865.3163727217,49.610691874525365,1,1.0,-0.053675209371262876,1.0,False,1,True
2022-12-02,396572.6528413113,49.619413119168385,1,1.0,-0.05437306517069022,1.0,False,1,True
2022-12-05,391361.37139532686,49.628135896950845,1,1.0,-0.06679935875098292,1.0,False,1,True
2022-12-06,389604.8032000824,49.63686020814225,1,1.0,-0.07098789324615305,1.0,False,1,True
2022-12-07,389604.8119259273,49.645586053012174,1,1.0,-0.07098787244304479,1.0,False,1,True
2022-12-08,391595.6045354472,49.654313431830225,1,1.0,-0.06624083015537578,1.0,False,1,True
2022-12-09,391829.8696272753,49.66304234486606,1,1.0,-0.06568222536365192,1.0,False,1,True
2022-12-12,393000.9378708149,49.67177279238938,1,1.0,-0.06288981472065273,1.0,False,1,True
2022-12-13,398573.99538514577,49.68050477466995,1,1.0,-0.04960086660082892,1.0,False,1,True
2022-12-14,398221.3104655564,49.68923829197756,1,1.0,-0.05044184331939056,1.0,False,1,True
2022-12-15,388050.92754564073,49.69797334458206,1,1.0,-0.07469310767321788,1.0,False,1,True
2022-12-16,384641.3008337731,49.70670993275335,1,1.0,-0.08282335797089459,1.0,False,1,True
2022-12-19,383700.70259634167,49.71544805676137,1,1.0,-0.08506621320261135,1.0,False,1,True
2022-12-20,385229.1328333468,49.72418771687611,1,1.0,-0.0814216733683676,1.0,False,1,True
2022-12-21,389226.7397457774,49.73292891336761,1,1.0,-0.07188938508310477,1.0,False,1,True
2022-12-22,386052.23390873754,49.74167164650595,1,1.0,-0.07945898997199358,1.0,False,1,True
2022-12-23,387404.32967388164,49.750415916561266,1,1.0,-0.07623491944798537,1.0,False,1,True
2022-12-27,387992.2270419728,49.75916172380374,1,1.0,-0.07483307897065689,1.0,False,1,True
2022-12-28,383877.08953382436,49.7679090685036,1,1.0,-0.08464561881016049,1.0,False,1,True
2022-12-29,389932.2695816875,49.77665795093112,1,1.0,-0.07020705015963923,1.0,False,1,True
2022-12-30,385934.7048610386,49.78540837135662,1,1.0,-0.07973923784598622,1.0,False,1,True
2023-01-03,389344.44786211225,49.794160330050474,1,1.0,-0.0716087102641842,1.0,False,1,True
2023-01-04,394517.73323075235,49.8029138272831,1,1.0,-0.05927301828637748,1.0,False,1,True
2023-01-05,390579.00430726056,49.81166886332496,1,1.0,-0.06866491209378932,1.0,False,1,True
2023-01-06,400572.946741509,49.82042543844657,1,1.0,-0.04483436984730421,1.0,False,1,True
2023-01-09,402277.8349742634,49.82918355291849,1,1.0,-0.04076906616028967,1.0,False,1,True
2023-01-10,403453.59627832053,49.83794320701132,1,1.0,-0.037965464920830576,1.0,False,1,True
2023-01-11,406510.57153502846,49.846704400995726,1,1.0,-0.03067611154950136,1.0,False,1,True
2023-01-12,412506.9652045314,49.85546713514241,1,1.0,-0.016377718938868354,1.0,False,1,True
2023-01-13,414682.1939814708,49.86423140972212,1,1.0,-0.01119088885885348,1.0,False,1,True
2023-01-17,415975.5033759482,49.872997225005655,1,1.0,-0.008106994356391489,1.0,False,1,True
