symbol,year,total_revenue,total_debt,ratio
HON,2021,34392000000.0,20631000000.0,1.6670059619019921
UNP,2025,24510000000.0,32822000000.0,0.7467552251538602
UNP,2024,24250000000.0,32463000000.0,0.7470042817977389
UNP,2023,24119000000.0,34179000000.0,0.7056672225635624
UNP,2022,24875000000.0,34957000000.0,0.7115885230425952
RTX,2025,88603000000.0,39506000000.0,2.2427732496329673
RTX,2024,80738000000.0,42893000000.0,1.882311799128063
RTX,2023,68920000000.0,45239000000.0,1.5234642675567542
RTX,2022,67074000000.0,33500000000.0,2.0022089552238804
LMT,2025,75048000000.0,21700000000.0,3.458433179723502
LMT,2024,71043000000.0,20270000000.0,3.5048347311297485
LMT,2023,67571000000.0,17459000000.0,3.8702674838192337
LMT,2022,65984000000.0,15547000000.0,4.244162861002122
DE,2025,44665000000.0,64250000000.0,0.6951750972762646
DE,2024,50518000000.0,65463000000.0,0.7717030994607641
DE,2023,60248000000.0,63692000000.0,0.9459272750109904
DE,2022,51282000000.0,52201000000.0,0.982394973276374
UPS,2024,91070000000.0,25652000000.0,3.550210509901762
UPS,2023,90958000000.0,26729000000.0,3.402970556324591
UPS,2022,100338000000.0,23521000000.0,4.265890055694911
UPS,2021,97287000000.0,25528000000.0,3.810991852083986
FDX,2025,87926000000.0,37416000000.0,2.349957237545435
FDX,2024,87693000000.0,37719000000.0,2.3249025689970573
FDX,2023,90155000000.0,38332000000.0,2.3519513722216425
FDX,2022,93512000000.0,37194000000.0,2.5141689519815023
MMM,2025,24948000000.0,12602000000.0,1.9796857641644183
MMM,2024,24575000000.0,13044000000.0,1.8840079730144128
MMM,2023,24610000000.0,16751000000.0,1.4691660199391081
MMM,2022,34229000000.0,16855000000.0,2.0307920498368435
GD,2025,52550000000.0,9789000000.0,5.368270507712738
GD,2024,47716000000.0,10676000000.0,4.469464218808542
GD,2023,42272000000.0,11083000000.0,3.8141297482631056
GD,2022,39407000000.0,12114000000.0,3.2530130427604425
NOC,2025,41954000000.0,17019000000.0,2.4651272107644395
NOC,2024,41033000000.0,16490000000.0,2.4883565797453002
NOC,2023,39290000000.0,15678000000.0,2.5060594463579537
NOC,2022,36602000000.0,13629000000.0,2.6855968889867197
