date,value,positions,exposure,cash
2016-03-23,997252.8258131094,0,0.0,997252.8258131094
2016-03-24,997371.546387611,0,0.0,997371.546387611
2016-03-28,997490.2810955142,0,0.0,997490.2810955142
2016-03-29,997609.0299385018,0,0.0,997609.0299385018
2016-03-30,997727.7929182564,0,0.0,997727.7929182564
2016-03-31,997846.5700364609,0,0.0,997846.5700364609
2016-04-01,997965.3612947986,0,0.0,997965.3612947986
2016-04-04,998084.1666949526,0,0.0,998084.1666949526
2016-04-05,998202.9862386069,0,0.0,998202.9862386069
2016-04-06,998321.8199274448,0,0.0,998321.8199274448
2016-04-07,998440.6677631504,0,0.0,998440.6677631504
2016-04-08,998559.5297474079,0,0.0,998559.5297474079
2016-04-11,998678.4058819016,0,0.0,998678.4058819016
2016-04-12,998797.2961683162,0,0.0,998797.2961683162
2016-04-13,998916.2006083363,0,0.0,998916.2006083363
2016-04-14,999035.1192036468,0,0.0,999035.1192036468
2016-04-15,999154.051955933,0,0.0,999154.051955933
2016-04-18,999272.9988668801,0,0.0,999272.9988668801
2016-04-19,999391.9599381738,0,0.0,999391.9599381738
2016-04-20,999510.9351714997,0,0.0,999510.9351714997
2016-04-21,999629.9245685439,0,0.0,999629.9245685439
2016-04-22,999748.9281309926,0,0.0,999748.9281309926
2016-04-25,999867.945860532,0,0.0,999867.945860532
2016-04-26,999986.9777588487,0,0.0,999986.9777588487
2016-04-27,998062.3126250881,1,0.19840603311688074,800040.7283736843
2016-04-28,994114.7613108244,1,0.19512715990406246,800135.9713175383
2016-04-29,994093.3399720914,1,0.1950139957458079,800231.225599838
2016-05-02,997065.3009219454,1,0.1973178782955298,800326.4912219332
2016-05-03,993934.0410809868,1,0.19469327429952205,800421.7681851739
2016-05-04,985929.121644161,2,0.38976883239922694,601644.6790725209
2016-05-05,976835.6701669062,2,0.38401481250550007,601716.3034390772
2016-05-06,978566.0684668547,1,0.2001740709664494,782682.5148322112
2016-05-09,978561.3031798984,0,0.0,978561.3031798984
2016-05-10,983362.9162260634,1,0.20385852321691333,782896.0043379408
2016-05-11,983234.9645554445,1,0.2036601275695719,782989.2062432192
2016-05-12,981309.8952266284,1,0.202002931945251,783082.4192439624
2016-05-13,976896.7304653623,1,0.19830252378016286,783175.6433414915
2016-05-16,978731.6640099973,1,0.19971029104344304,783268.8785371274
2016-05-17,979792.5777435683,1,0.20048167068559566,783362.1248321914
2016-05-18,978614.0798827289,1,0.19942355384679397,783455.3822280047
2016-05-19,975500.3110881327,1,0.19677252603654122,783548.650725889
2016-05-20,975497.6148592284,0,0.0,975497.6148592284
2016-05-23,975613.745527664,0,0.0,975613.745527664
2016-05-24,975729.8900211792,0,0.0,975729.8900211792
2016-05-25,975846.0483414198,0,0.0,975846.0483414198
2016-05-26,975962.2204900319,0,0.0,975962.2204900319
2016-05-27,976078.4064686616,0,0.0,976078.4064686616
2016-05-31,976194.6062789555,0,0.0,976194.6062789555
2016-06-01,976310.8199225601,0,0.0,976310.8199225601
2016-06-02,976427.0474011223,0,0.0,976427.0474011223
2016-06-03,976543.2887162891,0,0.0,976543.2887162891
2016-06-06,976659.5438697077,0,0.0,976659.5438697077
2016-06-07,976775.8128630256,0,0.0,976775.8128630256
2016-06-08,976892.0956978903,0,0.0,976892.0956978903
2016-06-09,977008.3923759495,0,0.0,977008.3923759495
2016-06-10,977124.7028988515,0,0.0,977124.7028988515
2016-06-13,977241.0272682442,0,0.0,977241.0272682442
2016-06-14,977357.3654857761,0,0.0,977357.3654857761
2016-06-15,977473.7175530959,0,0.0,977473.7175530959
2016-06-16,977590.0834718522,0,0.0,977590.0834718522
2016-06-17,977706.4632436942,0,0.0,977706.4632436942
2016-06-20,977822.8568702708,0,0.0,977822.8568702708
2016-06-21,977939.2643532315,0,0.0,977939.2643532315
2016-06-22,978055.685694226,0,0.0,978055.685694226
2016-06-23,978172.1208949038,0,0.0,978172.1208949038
2016-06-24,978288.5699569151,0,0.0,978288.5699569151
2016-06-27,978405.03288191,0,0.0,978405.03288191
2016-06-28,988963.9226454239,2,0.40640254339723936,587046.469154213
2016-06-29,991079.5042014718,1,0.20182108787986563,791058.7604880929
2016-06-30,993911.9540475167,1,0.20400098728238808,791152.9341500557
2016-07-01,994417.768894995,1,0.2043111619954167,791247.1190231688
2016-07-05,993760.2322535422,1,0.20368989478050617,791341.3151087668
2016-07-06,994606.1722800107,1,0.2042724603307888,791435.5224081845
2016-07-07,993232.8473375518,1,0.2030773619252302,791529.7409227568
2016-07-08,997640.3300898542,1,0.20650363986135156,791623.970653819
2016-07-11,997631.5628590235,0,0.0,997631.5628590235
2016-07-12,997750.3285212686,0,0.0,997750.3285212686
2016-07-13,997869.108322283,0,0.0,997869.108322283
2016-07-14,997987.90226375,0,0.0,997987.90226375
2016-07-15,998106.7103473528,0,0.0,998106.7103473528
2016-07-18,998225.532574775,0,0.0,998225.532574775
2016-07-19,998344.3689477006,0,0.0,998344.3689477006
2016-07-20,998463.2194678134,0,0.0,998463.2194678134
2016-07-21,998582.0841367977,0,0.0,998582.0841367977
2016-07-22,998700.9629563378,0,0.0,998700.9629563378
2016-07-25,998819.8559281183,0,0.0,998819.8559281183
2016-07-26,998938.7630538241,0,0.0,998938.7630538241
2016-07-27,999057.68433514,0,0.0,999057.68433514
2016-07-28,999176.6197737514,0,0.0,999176.6197737514
2016-07-29,999295.5693713435,0,0.0,999295.5693713435
2016-08-01,999414.533129602,0,0.0,999414.533129602
2016-08-02,999533.5110502127,0,0.0,999533.5110502127
2016-08-03,999652.5031348615,0,0.0,999652.5031348615
2016-08-04,999771.5093852347,0,0.0,999771.5093852347
2016-08-05,999890.5298030187,0,0.0,999890.5298030187
2016-08-08,1000009.5643899,0,0.0,1000009.5643899
2016-08-09,1000128.6131475654,0,0.0,1000128.6131475654
2016-08-10,1000247.676077702,0,0.0,1000247.676077702
2016-08-11,1000366.753181997,0,0.0,1000366.753181997
2016-08-12,1000485.8444621377,0,0.0,1000485.8444621377
