symbol,entry_date,exit_date,exit_reason,pnl,return,days_held
PYPL,2018-03-23 00:00:00-04:00,2018-04-05 00:00:00-04:00,hold_expired,707.0249967336806,0.0066587323214922405,8
MU,2018-03-27 00:00:00-04:00,2018-04-09 00:00:00-04:00,hold_expired,-8885.492941436509,-0.0847525619639484,8
AMZN,2018-03-28 00:00:00-04:00,2018-04-10 00:00:00-04:00,hold_expired,348.1317589135551,0.0033393115454995303,8
BA,2018-04-03 00:00:00-04:00,2018-04-13 00:00:00-04:00,hold_expired,-796.7095755170441,-0.004658254906333093,8
INTC,2018-04-03 00:00:00-04:00,2018-04-13 00:00:00-04:00,hold_expired,4349.822170135713,0.04238814185487369,8
NVDA,2018-04-04 00:00:00-04:00,2018-04-16 00:00:00-04:00,hold_expired,2311.9413493429324,0.02302662037007454,8
NFLX,2018-04-05 00:00:00-04:00,2018-04-17 00:00:00-04:00,hold_expired,26781.779244193684,0.14314384888000606,8
LDG,2018-04-05 00:00:00-04:00,2018-04-17 00:00:00-04:00,hold_expired,9918.17052767107,0.05622155670817909,8
PYPL,2018-04-05 00:00:00-04:00,2018-04-17 00:00:00-04:00,hold_expired,4235.269432554353,0.040012999258252836,8
MU,2018-04-09 00:00:00-04:00,2018-04-19 00:00:00-04:00,hold_expired,7349.779875487551,0.07212209987286086,8
AMZN,2018-04-10 00:00:00-04:00,2018-04-20 00:00:00-04:00,hold_expired,6543.602696487139,0.06353482949267727,8
BA,2018-04-13 00:00:00-04:00,2018-04-25 00:00:00-04:00,hold_expired,7121.942197020474,0.0412383091075383,8
INTC,2018-04-13 00:00:00-04:00,2018-04-25 00:00:00-04:00,hold_expired,-961.4329900718336,-0.009278357305654315,8
NVDA,2018-04-16 00:00:00-04:00,2018-04-26 00:00:00-04:00,hold_expired,-2815.0284972745885,-0.02725990034417082,8
LDG,2018-04-17 00:00:00-04:00,2018-04-26 00:00:00-04:00,position_stop,-30836.25033215664,-0.14638968034056812,7
NFLX,2018-04-17 00:00:00-04:00,2018-04-27 00:00:00-04:00,hold_expired,-13152.526896839126,-0.07233822742003024,8
NKE,2018-04-17 00:00:00-04:00,2018-04-27 00:00:00-04:00,hold_expired,3310.846016812166,0.030349742580523753,8
MU,2018-04-19 00:00:00-04:00,2018-05-01 00:00:00-04:00,hold_expired,-9832.532553231606,-0.0900627709361975,8
AMZN,2018-04-20 00:00:00-04:00,2018-05-02 00:00:00-04:00,hold_expired,3018.243186213991,0.027607444859717112,8
INTC,2018-04-25 00:00:00-04:00,2018-05-07 00:00:00-04:00,hold_expired,7844.840855648405,0.04392002212257226,8
BA,2018-04-25 00:00:00-04:00,2018-05-07 00:00:00-04:00,hold_expired,-759.8867187156466,-0.007090595053409188,8
LDG,2018-04-26 00:00:00-04:00,2018-05-08 00:00:00-04:00,hold_expired,7465.557269385745,0.042318455891330875,8
NVDA,2018-04-26 00:00:00-04:00,2018-05-08 00:00:00-04:00,hold_expired,11815.051410025251,0.11162255672005701,8
NFLX,2018-04-27 00:00:00-04:00,2018-05-09 00:00:00-04:00,hold_expired,10457.132740750169,0.05943668683711055,8
NKE,2018-04-27 00:00:00-04:00,2018-05-09 00:00:00-04:00,hold_expired,-2444.9537536361186,-0.02316171200602665,8
MU,2018-05-01 00:00:00-04:00,2018-05-11 00:00:00-04:00,hold_expired,11080.079122394043,0.10747999589893428,8
AMZN,2018-05-02 00:00:00-04:00,2018-05-14 00:00:00-04:00,hold_expired,2166.368903778234,0.020284418426848107,8
BA,2018-05-07 00:00:00-04:00,2018-05-17 00:00:00-04:00,hold_expired,2888.7997587670293,0.01593786796286882,8
CSCO,2018-05-07 00:00:00-04:00,2018-05-17 00:00:00-04:00,hold_expired,-5401.329337713024,-0.04966644571348021,8
LDG,2018-05-08 00:00:00-04:00,2018-05-18 00:00:00-04:00,hold_expired,4369.085568627502,0.02350535821592493,8
NVDA,2018-05-08 00:00:00-04:00,2018-05-18 00:00:00-04:00,hold_expired,-2004.4824911360047,-0.017973280766869333,8
MU,2018-05-11 00:00:00-04:00,2018-05-18 00:00:00-04:00,trailing_stop,3374.8204182179666,0.030277268809807155,5
NFLX,2018-05-09 00:00:00-04:00,2018-05-21 00:00:00-04:00,hold_expired,835.3317043945549,0.004571614678373541,8
NKE,2018-05-09 00:00:00-04:00,2018-05-21 00:00:00-04:00,hold_expired,5532.227265234419,0.050462432501584095,8
AMZN,2018-05-14 00:00:00-04:00,2018-05-24 00:00:00-04:00,hold_expired,104.1586617217318,0.0009428417109119191,8
LDG,2018-05-18 00:00:00-04:00,2018-05-24 00:00:00-04:00,position_stop,-19781.27341431984,-0.12526100019877315,4
BA,2018-05-17 00:00:00-04:00,2018-05-30 00:00:00-04:00,hold_expired,7401.617173909842,0.040823378385911054,8
CSCO,2018-05-17 00:00:00-04:00,2018-05-30 00:00:00-04:00,hold_expired,-1530.043417055336,-0.014064869341347604,8
NVDA,2018-05-18 00:00:00-04:00,2018-05-31 00:00:00-04:00,hold_expired,4735.715665500648,0.025882392293933527,8
MU,2018-05-18 00:00:00-04:00,2018-05-31 00:00:00-04:00,trailing_stop,7452.002609586236,0.07864722349051406,8
NFLX,2018-05-21 00:00:00-04:00,2018-06-01 00:00:00-04:00,hold_expired,14933.800970417034,0.08468449433934414,8
BKNG,2018-05-21 00:00:00-04:00,2018-06-01 00:00:00-04:00,hold_expired,2930.675428962109,0.0276986586401602,8
