date,compass_value,nightshift_value,combined_value,compass_dd,nightshift_dd,combined_dd
2021-08-09,2102307.008705237,35062.440674424906,2137369.449379662,-0.009988279902109341,-0.33670355262369533,-0.009891964049596722
2021-08-10,2089537.2917338945,35150.30215218626,2124687.5938860807,-0.01600175434309881,-0.3350414262873833,-0.01576666532718867
2021-08-11,2087579.7923664928,35106.66655634071,2122686.4589228337,-0.016923573710007276,-0.3358669060642266,-0.01669366454517937
2021-08-12,2097364.2285799244,35127.098570198956,2132491.327150123,-0.012315918174570813,-0.335480381853583,-0.012151689442984615
2021-08-13,2125968.621770561,35001.53895768065,2160970.160728242,0.0,-0.3378556655849887,0.0
2021-08-16,2115515.618297269,34989.32697259179,2150504.945269861,-0.004916819263581875,-0.33808668676232384,-0.004842832005997823
2021-08-17,2110864.4488196247,34901.21764684863,2145765.666466473,-0.007104607658017708,-0.3397535017821006,-0.007035957524117209
2021-08-18,2074839.956413778,34669.807164065256,2109509.763577843,-0.024049586072536638,-0.3441312275810866,-0.023813562114646074
2021-08-19,2087172.2194062592,34713.34896690457,2121885.5683731637,-0.018248812314074193,-0.34330752214073085,-0.01808659511610594
2021-08-20,2122064.925962525,34822.427087730684,2156887.3530502557,-0.001836196342721726,-0.3412440283097603,-0.0018893401455437977
2021-08-23,2166597.74206678,34758.62386601478,2201356.3659327948,0.0,-0.34245103071693134,0.0
2021-08-24,2150588.415107005,34761.68347285396,2185350.098579859,-0.007389155194311029,-0.342393150366683,-0.007271093222633865
2021-08-25,2155288.7129498515,34699.193995844966,2189987.9069456966,-0.005219717946415179,-0.34357529990622443,-0.0051642974136452266
2021-08-26,2142363.361614747,34747.66360882787,2177111.025223575,-0.01118545449461941,-0.3426583722343663,-0.01101381906375075
2021-08-27,2156488.8890888123,34795.04399942419,2191283.9330882365,-0.004665772875921441,-0.3417620500116876,-0.0045755575973225986
2021-08-30,2162908.940099109,34745.89974432131,2197654.83984343,-0.0017025781463947647,-0.34269174027830024,-0.0016814751789613997
2021-08-31,2143566.4486802337,34816.04088892381,2178382.4895691574,-0.010630165876835178,-0.3413648397221823,-0.010436236821611808
2021-09-01,2142031.3605119456,34921.25988662687,2176952.6203985726,-0.01133869064748492,-0.3393743511529185,-0.011085776892775538
2021-09-02,2145351.344949858,34806.01937260765,2180157.3643224654,-0.009806341391574956,-0.34155442253621277,-0.00962997265612948
2021-09-03,2153223.5588144786,34777.05494918037,2188000.613763659,-0.006172896330789819,-0.34210235926822785,-0.006067055918716114
2021-09-07,2144256.915833355,34728.24736618983,2178985.163199545,-0.010311478591366765,-0.3430256805139807,-0.01016246305207852
2021-09-08,2122523.5302803544,34711.04892449451,2157234.579204849,-0.020342591026787468,-0.3433510333718391,-0.020043000493129962
