date,value,cash,positions,drawdown,leverage,in_protection,universe_size
2024-08-05,496092.8205471775,24798.444132446413,5,-0.2206358889180526,1.0,True,40
2024-08-06,502914.470251761,24798.444132446413,5,-0.2099190457428961,1.0,True,40
2024-08-07,492329.32454578875,24612.475507757597,5,-0.2265483585088192,1.0,True,40
2024-08-08,502799.4728991485,24612.475507757597,5,-0.21009970711468698,1.0,True,40
2024-08-09,505250.835822987,25259.532422448334,5,-0.20624860464565822,1.0,True,40
2024-08-12,503528.02401437634,25164.567990520765,5,-0.20895514994961645,1.0,True,40
2024-08-13,514407.0820308867,25164.567990520765,5,-0.1918640995871163,1.0,True,40
2024-08-14,515748.8305544256,25783.502588116142,5,-0.18975620646302313,1.0,True,40
2024-08-15,529724.4876129655,25783.502588116142,5,-0.16780038471135703,1.0,True,40
2024-08-16,528666.3282630593,26429.263355923977,5,-0.1694627579346041,1.0,True,40
2024-08-19,536247.6037183392,26810.06634527656,5,-0.157552539198613,1.0,True,40
2024-08-20,541116.9466984365,26810.06634527656,5,-0.14990277889962125,1.0,True,40
2024-08-21,544086.9325586325,27199.4692088967,5,-0.14523691740357197,1.0,True,40
2024-08-22,537730.2418744162,27199.4692088967,5,-0.1552233078114451,1.0,True,40
2024-08-23,540767.3852272008,27035.561572109844,5,-0.15045194158453498,1.0,True,40
2024-08-26,535527.1789177981,26772.56414752992,5,-0.158684329885799,1.0,True,40
2024-08-27,536165.1068170562,26772.56414752992,5,-0.15768214221134066,1.0,True,40
2024-08-28,528208.7433184251,26408.72875786129,5,-0.17018162599487133,1.0,True,40
2024-08-29,528919.8045604685,26408.72875786129,5,-0.1690645455013082,1.0,True,40
2024-08-30,532373.7439177015,26616.4809509966,5,-0.1636383908274474,1.0,True,40
2024-09-03,521918.2695361315,26091.12088106782,5,-0.1800639893441618,1.0,True,40
2024-09-04,521933.7783259838,26091.12088106782,5,-0.18003962496371415,1.0,True,40
2024-09-05,523346.417660685,26163.42379624187,5,-0.1778203620480475,1.0,True,40
2024-09-06,513500.4786751528,26163.42379624187,5,-0.1932883776439246,1.0,True,40
2024-09-09,519828.9965192613,25987.636693482986,5,-0.1833462468979087,1.0,True,40
2024-09-10,521205.1342727919,25987.636693482986,5,-0.18118432813475516,1.0,True,40
2024-09-11,533400.007387754,26666.66557226886,5,-0.1620261261786844,1.0,True,40
2024-09-12,538093.4896939821,26666.66557226886,5,-0.15465264381012753,1.0,True,40
2024-09-13,542657.1302486734,27128.88802427295,5,-0.1474831434325943,1.0,True,40
2024-09-16,543704.6388036108,27182.90096890676,5,-0.14583750265740814,1.0,True,40
2024-09-17,547312.3411800693,27182.90096890676,5,-0.14016978557056234,1.0,True,40
2024-09-18,550047.0798504506,27498.410058761423,5,-0.1358734984956307,1.0,True,40
2024-09-19,553180.0550094161,27498.410058761423,5,-0.1309515800588435,1.0,True,40
2024-09-20,553785.8143426008,27682.01747422773,5,-0.12999992935017904,1.0,True,40
2024-09-23,555803.544206324,27786.038087300418,5,-0.12683006642027467,1.0,True,40
2024-09-24,553655.4815691715,27786.038087300418,5,-0.13020468273886238,1.0,True,40
