date,portfolio_value,cash,positions_count,regime_mult
2023-11-29,1156765.7665166676,10185.620133066066,31,1.0
2023-11-30,1181913.3433994248,10185.620133066066,31,1.0
2023-12-01,1178672.9055763176,10185.620133066066,31,1.0
2023-12-04,1179773.1921339442,10185.620133066066,31,1.0
2023-12-05,1180685.7926545711,10185.620133066066,31,1.0
2023-12-06,1177728.797506061,10185.620133066066,31,1.0
2023-12-07,1180057.4532861696,10185.620133066066,31,1.0
2023-12-08,1182104.1036403002,10185.620133066066,31,1.0
2023-12-11,1179913.9051579307,10185.620133066066,31,1.0
2023-12-12,1184535.1298936792,10185.620133066066,31,1.0
2023-12-13,1194366.7019159482,10185.620133066066,31,1.0
2023-12-14,1175971.4028659808,10185.620133066066,31,1.0
2023-12-15,1173891.1535358622,10185.620133066066,31,1.0
2023-12-18,1172637.5090609612,10185.620133066066,31,1.0
2023-12-19,1171584.8804727553,10185.620133066066,31,1.0
2023-12-20,1152821.7334230398,10185.620133066066,31,1.0
2023-12-21,1162604.7273858697,10185.620133066066,31,1.0
2023-12-22,1165375.7454925186,10185.620133066066,31,1.0
2023-12-26,1168252.7231440237,10185.620133066066,31,1.0
2023-12-27,1174114.1980032236,10185.620133066066,31,1.0
2023-12-28,1177376.749810393,10185.620133066066,31,1.0
2023-12-29,1178540.658395192,10185.620133066066,31,1.0
2024-01-02,1194891.6800366994,10185.620133066066,31,1.0
2024-01-03,1196708.3113845596,10185.620133066066,31,1.0
2024-01-04,1201313.2670670573,10185.620133066066,31,1.0
2024-01-05,1193324.302097232,10185.620133066066,31,1.0
2024-01-08,1197556.2702649476,10185.620133066066,31,1.0
2024-01-09,1200179.963880204,10185.620133066066,31,1.0
2024-01-10,1201501.8622226883,10185.620133066066,31,1.0
2024-01-11,1202519.9739822685,10185.620133066066,31,1.0
2024-01-12,1181959.8575955476,10185.620133066066,31,1.0
2024-01-16,1181443.5589537031,10185.620133066066,31,1.0
2024-01-17,1188405.1202249862,10185.620133066066,31,1.0
2024-01-18,1179997.6823006277,10185.620133066066,31,1.0
2024-01-19,1170913.6486531897,10185.620133066066,31,1.0
2024-01-22,1179622.83838151,10185.620133066066,31,1.0
2024-01-23,1184424.2383093226,10185.620133066066,31,1.0
2024-01-24,1183288.4222364663,10185.620133066066,31,1.0
2024-01-25,1163507.5022089116,10185.620133066066,31,1.0
2024-01-26,1176570.8830111125,10185.620133066066,31,1.0
2024-01-29,1180436.764505843,10185.620133066066,31,1.0
2024-01-30,1179917.657658924,10185.620133066066,31,1.0
2024-01-31,1184281.0130940503,10185.620133066066,31,1.0
2024-02-01,1185334.5349154593,10185.620133066066,31,1.0
2024-02-02,1191846.0847621288,10185.620133066066,31,1.0
2024-02-05,1179644.547679408,10185.620133066066,31,1.0
2024-02-06,1189438.1654725852,10185.620133066066,31,1.0
2024-02-07,1203406.4396063574,10185.620133066066,31,1.0
2024-02-08,1204139.1138448662,10185.620133066066,31,1.0
2024-02-09,1200089.4636468983,10185.620133066066,31,1.0
2024-02-12,1201240.629002462,10185.620133066066,31,1.0
2024-02-13,1194988.6254425212,10185.620133066066,31,1.0
2024-02-14,1199199.9662478499,10185.620133066066,31,1.0
2024-02-15,1208290.3959416284,10185.620133066066,31,1.0
2024-02-16,1208191.4772565586,10185.620133066066,31,1.0
2024-02-20,1207315.6184361386,10185.620133066066,31,1.0
2024-02-21,1209697.5901442098,10185.620133066066,31,1.0
2024-02-22,1226274.168814514,10185.620133066066,31,1.0
2024-02-23,1226453.4519254847,10185.620133066066,31,1.0
2024-02-26,1222660.1503187965,10185.620133066066,31,1.0
2024-02-27,1208724.0004468844,10185.620133066066,31,1.0
2024-02-28,1190275.0555593197,10185.620133066066,31,1.0
2024-02-29,1189505.50474506,10185.620133066066,31,1.0
2024-03-01,1189619.335438745,10185.620133066066,31,1.0
2024-03-04,1180813.1051950105,10185.620133066066,31,1.0
2024-03-05,1168393.0596824007,10185.620133066066,31,1.0
2024-03-06,1172857.9035365428,10185.620133066066,31,1.0
2024-03-07,1182924.506959963,10185.620133066066,31,1.0
2024-03-08,1175078.5268285752,10185.620133066066,31,1.0
2024-03-11,1188363.3454647046,10185.620133066066,31,1.0
2024-03-12,1194444.3850599262,10185.620133066066,31,1.0
2024-03-13,1190307.825364494,10185.620133066066,31,1.0
2024-03-14,1186912.4574843303,10185.620133066066,31,1.0
2024-03-15,1187829.6966394812,10185.620133066066,31,1.0
2024-03-18,1184523.5348275928,10185.620133066066,31,1.0
2024-03-19,1190732.1016978545,10185.620133066066,31,1.0
2024-03-20,1193211.9919327768,10185.620133066066,31,1.0
2024-03-21,1191905.5652384558,10185.620133066066,31,1.0
2024-03-22,1187421.449721075,10185.620133066066,31,1.0
2024-03-25,1180602.4393695935,10185.620133066066,31,1.0
2024-03-26,1188749.2414563887,10185.620133066066,31,1.0
2024-03-27,1196289.801141976,10185.620133066066,31,1.0
2024-03-28,1199532.0143484394,10185.620133066066,31,1.0
2024-04-01,1190362.5889534845,10185.620133066066,31,1.0
2024-04-02,1146656.5102805956,10185.620133066066,31,1.0
2024-04-03,1146108.8739719952,10185.620133066066,31,0.75
2024-04-04,1131670.911463421,10185.620133066066,31,0.75
2024-04-05,1136834.9409991642,10185.620133066066,31,0.75
2024-04-08,1136163.0579273782,10185.620133066066,31,0.75
2024-04-09,1143520.2713098777,10185.620133066066,31,0.75
2024-04-10,1127258.586358067,10185.620133066066,31,0.75
2024-04-11,1117546.2839710906,10185.620133066066,31,0.75
2024-04-12,1106203.5494428058,10185.620133066066,31,0.75
2024-04-15,1110244.895320193,10185.620133066066,31,0.75
2024-04-16,1137785.3087182767,10185.620133066066,31,0.75
2024-04-17,1146038.7696406175,10185.620133066066,31,0.75
2024-04-18,1165038.5085225503,10185.620133066066,31,0.75
2024-04-19,1176207.8434120824,10185.620133066066,31,0.75
2024-04-22,1168485.9081069336,10185.620133066066,31,0.75
2024-04-23,1164877.3902302666,10185.620133066066,31,0.75
2024-04-24,1167739.3129932813,10185.620133066066,31,0.75
2024-04-25,1176047.7670094776,10185.620133066066,31,0.75
2024-04-26,1179877.4632796783,10185.620133066066,31,0.75
2024-04-29,1173332.7989401114,10185.620133066066,31,0.75
2024-04-30,1161161.7704571679,10185.620133066066,31,0.75
2024-05-01,1157347.17200197,10185.620133066066,31,0.75
2024-05-02,1171138.1881911715,10185.620133066066,31,0.75
2024-05-03,1174603.7994799374,10185.620133066066,31,0.75
2024-05-06,1181758.9528919102,10185.620133066066,31,0.75
2024-05-07,1192505.3931231496,10185.620133066066,31,0.75
2024-05-08,1193799.4539347638,10185.620133066066,31,1.0
2024-05-09,1203096.9659711488,10185.620133066066,31,1.0
2024-05-10,1212086.9302758179,10185.620133066066,31,1.0
2024-05-13,1208623.9697632475,10185.620133066066,31,1.0
2024-05-14,1212067.7456213322,10185.620133066066,31,1.0
2024-05-15,1223297.916395824,10185.620133066066,31,1.0
2024-05-16,1232810.6319791193,10185.620133066066,31,1.0
2024-05-17,1238869.7469938525,10185.620133066066,31,1.0
2024-05-20,1226125.9230360552,10185.620133066066,31,1.0
2024-05-21,1235504.0714725803,10185.620133066066,31,1.0
2024-05-22,1233852.693569315,10185.620133066066,31,1.0
2024-05-23,1220426.8191076599,10185.620133066066,31,1.0
2024-05-24,1213088.7281022945,10185.620133066066,31,1.0
2024-05-28,1205964.726137615,10185.620133066066,31,1.0
2024-05-29,1175829.529831428,10185.620133066066,31,1.0
2024-05-30,1174468.0718549462,10185.620133066066,31,1.0
2024-05-31,1197278.5419575605,10185.620133066066,31,1.0
2024-06-03,1197853.3254144327,10185.620133066066,31,0.75
2024-06-04,1208995.9123078699,10185.620133066066,31,0.75
2024-06-05,1209224.6311208738,10185.620133066066,31,0.75
2024-06-06,1210017.7581501242,10185.620133066066,31,0.75
2024-06-07,1196609.4299548483,10185.620133066066,31,1.0
2024-06-10,1198985.6359477371,10185.620133066066,31,0.75
2024-06-11,1198359.255869259,10185.620133066066,31,0.75
2024-06-12,1192559.4495769166,10185.620133066066,31,0.75
2024-06-13,1197390.985695616,10185.620133066066,31,1.0
2024-06-14,1198141.6833115902,10185.620133066066,31,1.0
2024-06-17,1192811.3497118687,10185.620133066066,31,1.0
2024-06-18,1183238.4323713684,10185.620133066066,31,1.0
2024-06-20,1192926.3475803288,10185.620133066066,31,1.0
2024-06-21,1188987.7961050926,10185.620133066066,31,1.0
2024-06-24,1201502.3159537679,10185.620133066066,31,1.0
2024-06-25,1191861.0733634715,10185.620133066066,31,1.0
2024-06-26,1189496.9101786392,10185.620133066066,31,1.0
2024-06-27,1191976.7261780398,10185.620133066066,31,1.0
2024-06-28,1220009.9265888561,10185.620133066066,31,1.0
2024-07-01,1199504.7205635754,10185.620133066066,31,1.0
