config,bull,mild_bull,mild_bear,bear,cagr,sharpe,sortino,max_dd,trades,win_rate,cagr_delta,sharpe_delta,dd_delta,is_cagr,is_sharpe,is_max_dd,oos_cagr,oos_sharpe,oos_max_dd,oos_sharpe_delta,passes_kill
b7/mb5/mbr5/br4,7,5,5,4,0.0905393025866934,0.6551724036549563,0.9081387695246282,-0.35786348533418616,4472,0.5460644007155635,-0.017851516588337724,-0.12125463095620792,0.008502347186416404,0.06767376438147621,0.5102022092306635,-0.35786348533418616,0.44641376671368516,2.8829002856609827,-0.22012663189105364,-0.6251995653696207,False
b7/mb6/mbr3/br2,7,6,3,2,0.07428818374564683,0.5594447590096443,0.7446013803686315,-0.3852636435218949,4993,0.5385539755657921,-0.0341026354293843,-0.21698227560151995,0.03590250537412515,0.05744030661432564,0.4592625306822274,-0.3852636435218949,0.3568299540820339,2.297792713091157,-0.256826443179008,-1.2103071379394463,False
b7/mb6/mbr3/br3,7,6,3,3,0.08780537540413769,0.6513109144299999,0.8908443588368673,-0.3824939282278599,4725,0.5371428571428571,-0.02058544377089344,-0.12511612018116436,0.033132790080090124,0.06500680864835551,0.5115201950995258,-0.3824939282278599,0.4310353173898658,2.739473504954265,-0.2421760390336393,-0.7686263460763385,False
b7/mb6/mbr4/br2,7,6,4,2,0.08670356204203511,0.6304068483643596,0.8620226733401148,-0.3405250087430396,4723,0.5445691297903875,-0.02168725713299602,-0.14602018624680468,-0.008836129404730164,0.07381018085512148,0.5601217263793443,-0.3405250087430396,0.4248730727660788,2.744142025570684,-0.3050617238710224,-0.7639578254599195,False
b7/mb6/mbr4/br3,7,6,4,3,0.09792711079965954,0.7275536776575376,1.000947734184494,-0.36696977695061195,4482,0.5481927710843374,-0.010463708375371583,-0.0488733569536266,0.01760863880284219,0.07073661722502167,0.5463101700125552,-0.36696977695061195,0.4886034805891284,3.257937335118425,-0.194819825858679,-0.2501625159121783,False
b7/mb6/mbr4/br4,7,6,4,4,0.08529932073457269,0.6320331544993275,0.8583361605596951,-0.4134972229232409,4397,0.5474186945644758,-0.023091498440458436,-0.14439388011183674,0.06413608477547117,0.06664980636408546,0.5230265301477305,-0.4134972229232409,0.41704885527230395,2.656666998318652,-0.2557792160013401,-0.8514328527119512,False
b7/mb6/mbr5/br2,7,6,5,2,0.07957004551229363,0.5847844019641786,0.7960635074272425,-0.36657542006063715,4559,0.5393726694450537,-0.028820773662737498,-0.19164263264698567,0.01721428191286739,0.06222767687338404,0.48030524908413824,-0.36657542006063715,0.3854663155024185,2.4816674267986527,-0.3243011897047364,-1.0264324242319507,False
b7/mb6/mbr5/br3,7,6,5,3,0.10204434062675971,0.7338626970302925,1.0242251425436801,-0.354389925711016,4327,0.5396348509359834,-0.006346478548271417,-0.04256433758087175,0.005028787563246262,0.08055439253768704,0.60484603276783,-0.354389925711016,0.5125207620235941,3.273437284201005,-0.24217478866176306,-0.23466256682959852,False
b7/mb6/mbr5/br4,7,6,5,4,0.07910949874662898,0.5954207729120405,0.8200475442386318,-0.4273195346041779,4239,0.542344892663364,-0.029281320428402147,-0.1810062616991237,0.07795839645640812,0.047619463943611384,0.381097619444518,-0.4273195346041779,0.3829511562399157,2.4596417724070316,-0.19757675276397446,-1.0484580786235718,False
b8/mb4/mbr3/br2,8,4,3,2,0.10683827788392453,0.7765833238731472,1.0697048923926227,-0.3317890881913364,5255,0.5446241674595623,-0.0015525412911066017,0.000156289261982967,-0.017572049956433355,0.0885895534374086,0.6740141580078257,-0.3317890881913364,0.540738367058599,3.468969590604065,-0.24656989331015697,-0.03913026042653822,False
b8/mb4/mbr3/br3,8,4,3,3,0.1066346920090302,0.7862318969306562,1.1023492623440976,-0.37407237988337527,5002,0.5479808076769292,-0.0017561271660009314,0.009804862319491958,0.024711241735605516,0.08807627104592552,0.6792384488763021,-0.37407237988337527,0.5395319132866185,3.5169491091891425,-0.26507051000581183,0.008849258158539097,False
b8/mb4/mbr4/br2,8,4,4,2,0.09392975316831631,0.673411353728105,0.9347746645344219,-0.3330282482033998,4938,0.5376670716889429,-0.014461066006714818,-0.10301568088305924,-0.016332889944369933,0.08184366887773753,0.6104551756357703,-0.3330282482033998,0.46566047439872804,2.988245011796948,-0.3077242774811428,-0.5198548392336555,False
b8/mb4/mbr4/br3,8,4,4,3,0.08753308179804131,0.6369757414038294,0.883014471458993,-0.37666562884538535,4730,0.5365750528541227,-0.020857737376989816,-0.13945129320733485,0.02730449069761559,0.06636545411747963,0.5056044031921866,-0.37666562884538535,0.4295105347397874,2.757347422308263,-0.24349588247920861,-0.7507524287223406,False
b8/mb4/mbr4/br4,8,4,4,4,0.08628875610349063,0.6234534731479868,0.8682569483349443,-0.3613141221742841,4628,0.5386776145203112,-0.0221020630715405,-0.15297356146317742,0.011952984026514346,0.06885408642684099,0.5198584068372525,-0.3613141221742841,0.42255840626159724,2.7047611698032052,-0.31016161320963254,-0.8033386812273982,False
b8/mb5/mbr3/br2,8,5,3,2,0.08049597781396645,0.5751906404858591,0.7822832488612622,-0.3105124499041121,4983,0.536223158739715,-0.02789484136106468,-0.20123639412530514,-0.03884868824365767,0.07191758148650607,0.5379342883467886,-0.3105124499041121,0.39053365114250127,2.4624558069044578,-0.2753995968397342,-1.0456440441261456,False
b8/mb5/mbr3/br3,8,5,3,3,0.08380783538349612,0.6060293370521035,0.8334722970148164,-0.3588594628108561,4728,0.5372250423011844,-0.024582983791535007,-0.17039769755906076,0.009498324663086366,0.07565483566763787,0.5724923016972951,-0.3588594628108561,0.4087745737137287,2.6102199694512818,-0.2988942424597961,-0.8978798815793216,False
b8/mb5/mbr4/br2,8,5,4,2,0.08989103122841868,0.6451130720648851,0.8907229636451591,-0.30987713106975245,4693,0.539313871723844,-0.018499787946612445,-0.13131396254627914,-0.0394840070780173,0.08110215676029009,0.6112429946229113,-0.30312155077390696,0.4427558324441796,2.783148789599373,-0.30987713106975245,-0.7249510614312302,False
b8/mb5/mbr4/br3,8,5,4,3,0.10069371091130597,0.7329808195978302,1.027723852027172,-0.33040881651709525,4470,0.5400447427293065,-0.007697108263725161,-0.04344621501333401,-0.018952321630674507,0.07910805305072843,0.5966289173044759,-0.33040881651709525,0.5046426924185632,3.323820527429589,-0.1592726331635789,-0.1842793236010145,False
