symbol,strategy,entry_date,exit_date,exit_reason,pnl_pct,hold_days
GILD,RATTLESNAKE,2013-06-05,2013-06-07,PROFIT,0.055267361225227685,2
LOW,RATTLESNAKE,2013-06-05,2013-06-07,PROFIT,0.05050550271464993,2
ABBV,RATTLESNAKE,2013-05-31,2013-06-12,TIME,0.0018739769405826667,8
AMGN,RATTLESNAKE,2013-06-04,2013-06-14,TIME,0.0013364949630894074,8
BLK,RATTLESNAKE,2013-06-24,2013-06-26,PROFIT,0.05052329451915494,2
NFLX,RATTLESNAKE,2013-06-26,2013-07-01,PROFIT,0.05742575129983374,3
GS,RATTLESNAKE,2013-06-24,2013-07-05,TIME,0.01631492496212794,8
ACN,RATTLESNAKE,2013-07-05,2013-07-17,TIME,0.02064137991498516,8
MSFT,RATTLESNAKE,2013-07-19,2013-07-31,TIME,0.014012951412694541,8
NFLX,RATTLESNAKE,2013-07-24,2013-08-05,PROFIT,0.05196852811721597,8
TSLA,RATTLESNAKE,2013-08-15,2013-08-20,PROFIT,0.07095304619998277,3
TSLA,RATTLESNAKE,2013-10-03,2013-10-04,PROFIT,0.04425596935828047,1
NFLX,RATTLESNAKE,2013-10-09,2013-10-10,PROFIT,0.05394700205967573,1
TSLA,RATTLESNAKE,2013-10-23,2013-10-24,PROFIT,0.05258351229944136,1
UNH,RATTLESNAKE,2013-10-21,2013-10-31,TIME,0.000880015239255183,8
TSLA,RATTLESNAKE,2013-11-11,2013-11-15,STOP,-0.06392537692791578,4
AIG,RATTLESNAKE,2013-11-06,2013-11-18,TIME,0.028787112143467963,8
TSLA,RATTLESNAKE,2013-11-18,2013-11-27,PROFIT,0.04408629756380056,7
NFLX,RATTLESNAKE,2014-01-10,2014-01-23,PROFIT,0.17034996381154022,8
BA,RATTLESNAKE,2014-01-29,2014-02-03,STOP,-0.0516258726540072,3
GE,RATTLESNAKE,2014-01-24,2014-02-05,TIME,-0.017234362676303072,8
MS,RATTLESNAKE,2014-01-27,2014-02-06,TIME,-0.007696055796339474,8
AAPL,RATTLESNAKE,2014-01-29,2014-02-07,PROFIT,0.04401532935703889,7
BMY,RATTLESNAKE,2014-01-29,2014-02-10,TIME,0.0378336586307626,8
TSLA,RATTLESNAKE,2014-03-11,2014-03-21,TIME,-0.02354848635268436,8
TSLA,RATTLESNAKE,2014-03-25,2014-03-27,STOP,-0.059517362667427576,2
NFLX,RATTLESNAKE,2014-03-24,2014-03-28,STOP,-0.05286354750138833,4
TSLA,RATTLESNAKE,2014-03-27,2014-04-01,PROFIT,0.046546479411246455,3
BKNG,RATTLESNAKE,2014-03-27,2014-04-01,PROFIT,0.05846477584226206,3
NFLX,RATTLESNAKE,2014-03-28,2014-04-04,STOP,-0.06007748314909389,5
AMZN,RATTLESNAKE,2014-03-27,2014-04-07,STOP,-0.061187137571640404,7
ADBE,RATTLESNAKE,2014-04-07,2014-04-09,PROFIT,0.04944596995883388,2
TSLA,RATTLESNAKE,2014-04-10,2014-04-15,STOP,-0.05034532920048007,3
SCHW,RATTLESNAKE,2014-04-10,2014-04-16,PROFIT,0.067621645286984,4
AMGN,RATTLESNAKE,2014-04-10,2014-04-22,PROFIT,0.045482831110020605,7
META,RATTLESNAKE,2014-04-28,2014-04-30,PROFIT,0.06483797963348481,2
