date,value,cash,positions,drawdown,leverage,regime_score,regime_label,dd_leverage,universe_size
2003-09-12 00:00:00-04:00,323776.4242085697,73281.479271857,8,-0.1509264292613945,0.49768392684651375,0.5,MILD,0.49768392684651375,50
2003-09-15 00:00:00-04:00,323829.76695411064,73291.6572550892,8,-0.15078654287053028,0.4980336428236743,0.5,MILD,0.4980336428236743,50
2003-09-16 00:00:00-04:00,330346.75819140254,73301.83665193019,8,-0.13369633924052438,0.5815183037973781,0.5,MILD,0.5815183037973781,50
2003-09-17 00:00:00-04:00,330196.5779531953,73312.01746257629,8,-0.13409017295284814,0.5795491352357593,0.5,MILD,0.5795491352357593,50
2003-09-18 00:00:00-04:00,332040.7685962216,72870.86759311993,8,-0.12925395444736382,0.6037302277631809,0.5,MILD,0.6037302277631809,50
2003-09-19 00:00:00-04:00,330914.3760449976,65225.220079943625,8,-0.13220781419134883,0.5889609290432558,0.5,MILD,0.5889609290432558,50
2003-09-22 00:00:00-04:00,325938.9159566837,65234.27913828806,8,-0.1452554957005212,0.523722521497394,0.5,MILD,0.523722521497394,50
2003-09-23 00:00:00-04:00,330228.8518131961,59037.60908951904,8,-0.13400553775552224,0.5799723112223888,0.5,MILD,0.5799723112223888,50
2003-09-24 00:00:00-04:00,321830.8869645587,69533.32808640812,8,-0.15602841980568827,0.48492895048577933,0.5,MILD,0.48492895048577933,50
2003-09-25 00:00:00-04:00,320859.15317078383,69542.98549308679,8,-0.15857670133700907,0.4785582466574773,0.5,MILD,0.4785582466574773,50
2003-09-26 00:00:00-04:00,316897.5994154258,69552.64424107193,8,-0.16896550775167252,0.4525862306208187,0.5,MILD,0.4525862306208187,50
2003-09-29 00:00:00-04:00,322455.68274301285,69562.30433054986,8,-0.1543899509644463,0.48902512258888425,0.5,MILD,0.48902512258888425,50
2003-09-30 00:00:00-04:00,316546.4320917794,67157.88293947451,8,-0.16988641140963331,0.4502839714759167,0.5,MILD,0.4502839714759167,50
2003-10-01 00:00:00-04:00,322845.8865408964,78816.18705087269,8,-0.1533666777820502,0.49158330554487445,0.5,MILD,0.49158330554487445,50
2003-10-02 00:00:00-04:00,324369.6511137654,78827.13374351864,8,-0.14937074685528995,0.5031462657235503,0.5,MILD,0.5031462657235503,50
2003-10-03 00:00:00-04:00,331854.928001539,65378.63638304226,8,-0.1297413041291728,0.6012934793541359,0.5,MILD,0.6012934793541359,50
2003-10-06 00:00:00-04:00,333264.15677788237,54047.91685457824,8,-0.12604573268031816,0.6197713365984092,0.5,MILD,0.6197713365984092,50
