date,portfolio_value,cash,positions_value,positions_count
2006-07-24,151211.10096569316,16488.22451607596,134722.8764496172,17
2006-07-25,152032.33370441533,16488.22451607596,135544.10918833938,17
2006-07-26,152375.1142804882,16488.22451607596,135886.88976441225,17
2006-07-27,152019.79600334525,16488.22451607596,135531.5714872693,17
2006-07-28,154164.44446091139,16488.22451607596,137676.21994483544,17
2006-07-31,154735.09351906538,16488.22451607596,138246.86900298944,17
2006-08-01,154033.1069277355,16488.22451607596,137544.88241165955,17
2006-08-02,156455.20707197167,16488.22451607596,139966.98255589572,17
2006-08-03,157412.32483034572,16488.22451607596,140924.10031426977,17
2006-08-04,157343.16338224165,16488.22451607596,140854.9388661657,17
2006-08-07,156998.01023503454,16488.22451607596,140509.7857189586,17
2006-08-08,156623.83700134285,16488.22451607596,140135.6124852669,17
2006-08-09,155450.32270837057,16488.22451607596,138962.09819229462,17
2006-08-10,155659.21253153583,16488.22451607596,139170.98801545988,17
2006-08-11,155097.97741498114,16488.22451607596,138609.7528989052,17
2006-08-14,155020.16988253995,16488.22451607596,138531.945366464,17
2006-08-15,157777.77299209562,16488.22451607596,141289.54847601967,17
2006-08-16,159361.3114679652,16488.22451607596,142873.08695188924,17
2006-08-17,159599.4514940162,16488.22451607596,143111.22697794024,17
2006-08-18,160464.5780099836,16488.22451607596,143976.35349390766,17
2006-08-21,159687.826130149,16488.22451607596,143199.60161407306,17
2006-08-22,159691.77802567373,16488.22451607596,143203.55350959778,17
2006-08-23,159387.19894035638,16488.22451607596,142898.97442428043,17
2006-08-24,160405.22487258463,16488.22451607596,143917.00035650868,17
2006-08-25,160140.57080397508,16488.22451607596,143652.34628789913,17
2006-08-28,160525.11219380316,16488.22451607596,144036.8876777272,17
2006-08-29,160483.91651162395,16488.22451607596,143995.691995548,17
2006-08-30,160947.77759345027,16488.22451607596,144459.55307737432,17
2006-08-31,161207.9842052419,16488.22451607596,144719.75968916595,17
2006-09-01,161306.4706846795,16488.22451607596,144818.24616860354,17
2006-09-05,162183.04822891962,16488.22451607596,145694.82371284367,17
2006-09-06,160983.8444304684,16488.22451607596,144495.61991439245,17
2006-09-07,161026.82336473302,16488.22451607596,144538.59884865707,17
2006-09-08,161393.62381044298,14743.458060158344,146650.16575028462,18
2006-09-11,161763.20552705033,14766.871058236373,146996.33446881396,18
2006-09-12,163435.81417563444,14766.871058236373,148668.94311739807,18
2006-09-13,164150.7225082263,14818.41116132023,149332.31134690606,18
2006-09-14,164219.07160643436,14818.41116132023,149400.66044511413,18
2006-09-15,165106.7169184888,14838.391850407312,150268.32506808147,18
2006-09-18,165266.66070608608,14838.391850407312,150428.26885567876,18
2006-09-19,164806.88333160212,14882.423682285118,149924.459649317,18
2006-09-20,166436.01651141967,14921.513264241123,151514.50324717854,18
2006-09-21,165468.83485207407,14921.513264241123,150547.32158783294,18
2006-09-22,164185.37711605337,14971.21980302031,149214.15731303307,18
2006-09-25,166049.17255692583,14971.21980302031,151077.95275390553,18
2006-09-26,167052.5914263665,14865.117486587786,152187.47393977872,18
2006-09-27,166852.0546066107,14865.117486587786,151986.93712002292,18
2006-09-28,167256.41511731647,14990.197259679857,152266.21785763663,18
2006-09-29,166995.23643747123,15055.564794961067,151939.67164251016,18
2006-10-02,166045.85380272067,15089.545884851981,150956.3079178687,18
2006-10-03,167030.42105259348,15064.006715277093,151966.41433731638,18
2006-10-04,169003.68901297782,15064.006715277093,153939.68229770073,18
2006-10-05,169038.92218565592,15103.776788157673,153935.14539749824,18
2006-10-06,169171.84598881978,15103.776788157673,154068.0692006621,18
2006-10-09,169386.88419766724,15094.461812431102,154292.42238523613,18
2006-10-10,169228.5889152444,15094.461812431102,154134.1271028133,18
2006-10-11,168562.83919273474,15054.998908606722,153507.84028412803,18
2006-10-12,169851.82716325135,15054.998908606722,154796.82825464464,18
2006-10-13,169751.1806875546,15043.506564825257,154707.67412272934,18
2006-10-16,169155.50259436027,15043.506564825257,154111.99602953502,18
2006-10-17,168144.70227641155,15020.540402176244,153124.16187423532,18
2006-10-18,168978.56733080358,15011.11070716951,153967.45662363406,18
2006-10-19,170521.37909459532,15011.11070716951,155510.2683874258,18
2006-10-20,170803.89312408213,15086.963004752259,155716.93011932986,18
2006-10-23,171434.90411884978,15037.188502435358,156397.7156164144,18
2006-10-24,171179.56131020666,15037.188502435358,156142.3728077713,18
2006-10-25,172088.24172522628,15027.312781507537,157060.92894371875,18
2006-10-26,174057.87790201863,15064.10816265544,158993.7697393632,18
2006-10-27,172401.56954800696,15083.58809210122,157317.98145590574,18
2006-10-30,172538.29684782476,15083.58809210122,157454.70875572355,18
2006-10-31,173099.06416507595,15110.116165195393,157988.94799988056,18
2006-11-01,171597.64201698764,15110.116165195393,156487.52585179225,18
2006-11-02,171570.03374562523,15416.170395522426,156153.8633501028,18
2006-11-03,171760.33572163517,15416.170395522426,156344.16532611274,18
2006-11-06,174624.99905693383,15658.68026956861,158966.31878736522,18
2006-11-07,175556.1417652966,15658.68026956861,159897.461495728,18
2006-11-08,176051.56035871542,15596.200265276346,160455.36009343909,18
2006-11-09,175145.60761898538,15596.200265276346,159549.40735370904,18
2006-11-10,174936.61401358427,15534.106560867162,159402.5074527171,18
2006-11-13,175794.52685340855,15534.106560867162,160260.42029254138,18
2006-11-14,177012.97844517167,15684.648799402468,161328.3296457692,18
2006-11-15,176740.33066733368,15684.648799402468,161055.6818679312,18
2006-11-16,177619.23629931101,15685.100672337043,161934.13562697396,18
2006-11-17,177607.41843289405,15685.100672337043,161922.317760557,18
2006-11-20,177734.56054183384,15671.180533605178,162063.38000822865,18
2006-11-21,178202.23746300233,15671.180533605178,162531.05692939713,18
