date,portfolio_value,cash,positions,drawdown,leverage,in_protection,risk_on,universe_size
2015-09-22,189996.93823356245,68637.94426316659,2,-0.0761375422987036,1.0,False,False,40
2015-09-23,189810.47640062007,68638.48900875598,2,-0.07704421526328514,1.0,False,False,40
2015-09-24,189802.24318358058,68639.03375866874,2,-0.07708424938277998,1.0,False,False,40
2015-09-25,187286.41504366434,68639.57851290492,2,-0.08931749477139708,1.0,False,False,40
2015-09-28,183732.50369095022,66229.86582857037,2,-0.10659843259753628,1.0,False,False,40
2015-09-29,182270.07930474333,66230.39146242615,2,-0.11370948922931494,1.0,False,False,40
2015-09-30,185682.25450649552,66230.91710045363,2,-0.09711774518698206,1.0,False,False,40
2015-10-01,187222.4787489424,66231.44274265284,2,-0.0896283857937856,1.0,False,False,40
2015-10-02,189998.85480711865,66231.96838902381,2,-0.07612822293612621,1.0,False,False,40
2015-10-05,192655.2147775229,69365.60643593196,2,-0.06321163978687473,1.0,False,False,40
2015-10-06,190861.91684497253,69366.15695661795,2,-0.0719315731224319,1.0,False,False,40
2015-10-07,191295.8007288617,69366.70748167316,2,-0.06982180738065936,1.0,False,False,40
2015-10-08,190090.8101420082,69367.25801109763,2,-0.07568108898502339,1.0,False,False,40
2015-10-09,191407.3730411756,69367.80854489136,2,-0.0692792856346562,1.0,False,False,40
2015-10-12,193376.34621286782,69283.32738292945,2,-0.05970512928003468,1.0,False,False,40
2015-10-13,193378.40178562354,69283.8772506071,2,-0.059695134032133626,1.0,False,False,40
2015-10-14,192616.6783315243,69284.42712264876,2,-0.06339902373128105,1.0,False,False,40
2015-10-15,195961.1846017962,69284.9769990545,2,-0.047136320703654165,1.0,False,False,40
2015-10-16,197291.1783725748,69285.52687982433,2,-0.040669209574271406,1.0,False,False,40
2015-10-19,197945.39291547198,71123.80779830972,2,-0.037488083283057534,1.0,False,False,40
2015-10-20,194756.70489697123,71124.37227297478,2,-0.05299311813784758,1.0,False,False,40
2015-10-21,193494.74229728244,71124.9367521198,2,-0.05912942685795123,1.0,False,False,40
2015-10-22,195253.67904582096,71125.50123574481,2,-0.05057657520384565,1.0,False,False,40
