date,portfolio_value,cash,positions_count,closed_count
2012-12-04,327985.38175419165,1.090806306809527e-55,616,15639
2012-12-05,325334.2418857966,1.0281143062696787e-55,615,15645
2012-12-06,326170.45559256274,1.045185842511262e-55,615,15650
2012-12-07,325351.9178337682,8.373300061304169e-56,616,15654
2012-12-10,323730.3376092259,1.2756334712524221e-55,614,15661
2012-12-11,326145.98893068155,7.122491849021767e-56,616,15664
2012-12-12,326916.9725039994,1.1807490617101987e-55,615,15670
2012-12-13,325702.6019328499,7.853598527060434e-56,616,15674
2012-12-14,323928.0372453352,9.947949033577104e-56,616,15679
2012-12-17,327796.49431762996,6.857623034025581e-56,617,15683
2012-12-18,332044.11710548337,1.0720309530905805e-55,616,15689
2012-12-19,330039.0307657546,8.58344016155572e-56,616,15694
2012-12-20,331052.9545782136,9.820760976371698e-56,616,15699
2012-12-21,328112.60157086345,8.985941757632473e-56,616,15704
2012-12-24,328123.8030119992,6.032544625513848e-56,618,15707
2012-12-26,323747.905877124,2.5993614153700005e-56,621,15709
2012-12-27,323672.6280627053,1.1071220902313514e-56,624,15711
2012-12-28,320091.4001751024,1.7218405920877104e-56,625,15715
2012-12-31,326879.9556905444,1.909038860101674e-56,623,15722
2013-01-02,335462.169698299,4.763124184297682e-57,627,15723
2013-01-03,334307.77799042815,2.045111820045574e-57,630,15725
