symbol,strategy,entry_date,exit_date,exit_reason,pnl,return
GOOGL,COMPASS,2009-05-20,2009-05-28,hold_expired,568.2363204934073,0.03328467113768514
GOOG,COMPASS,2009-05-20,2009-05-28,hold_expired,568.229651022836,0.03328475011402779
GOOGL,COMPASS,2009-05-28,2009-06-04,hold_expired,1348.1154352451465,0.07280696149031085
GOOG,COMPASS,2009-05-28,2009-06-04,hold_expired,1348.1032975191035,0.07280672227200506
AAPL,COMPASS,2009-05-22,2009-06-08,hold_expired,6206.4535867048,0.17428572375071769
AMZN,COMPASS,2009-05-28,2009-06-11,hold_expired,1228.3367750574848,0.10354158293358945
V,COMPASS,2009-06-04,2009-06-11,hold_expired,-840.1541206398821,-0.04027577901081156
MA,COMPASS,2009-06-04,2009-06-11,hold_expired,175.30789178276586,0.009204413185683465
RIG,COMPASS,2009-06-04,2009-06-11,hold_expired,425.5034513781061,0.03206551511278483
AAPL,COMPASS,2009-06-09,2009-06-16,hold_expired,-1759.863936837062,-0.04463290519321167
GOOGL,COMPASS,2009-06-12,2009-06-19,hold_expired,-239.15930431216037,-0.011180738354056564
GOOG,COMPASS,2009-06-12,2009-06-19,hold_expired,-239.16889498374204,-0.011180686079877843
RIG,COMPASS,2009-06-12,2009-06-19,position_stop,-639.095618041455,-0.06744965429261565
V,COMPASS,2009-06-12,2009-06-19,hold_expired,-635.5091608632086,-0.04645758717692839
AAPL,COMPASS,2009-06-19,2009-06-26,hold_expired,185.70474599836606,0.02122093119441858
RIG,COMPASS,2009-06-19,2009-06-26,hold_expired,-100.45616713060996,-0.014673483045403064
QCOM,COMPASS,2009-06-19,2009-06-26,hold_expired,34.51436603858133,0.004130764685628297
KO,COMPASS,2009-06-19,2009-06-26,hold_expired,-149.1467424898356,-0.013931433035106421
SLB,COMPASS,2009-06-19,2009-06-26,hold_expired,-99.08045757371397,-0.01571790372570411
SLB,COMPASS,2009-06-26,2009-07-02,regime_reduce,-215.3418708538278,-0.03542611817180343
AAPL,COMPASS,2009-06-26,2009-07-06,hold_expired,-285.36654959456683,-0.02688800109222973
GS,COMPASS,2009-06-26,2009-07-06,hold_expired,-15.34547670144779,-0.001908290538324022
QCOM,COMPASS,2009-06-26,2009-07-06,hold_expired,-180.07033199305766,-0.021433211675992
MSFT,COMPASS,2009-06-26,2009-07-06,hold_expired,-76.1560940301538,-0.006423697348382451
AAPL,COMPASS,2009-07-06,2009-07-13,hold_expired,193.56248094533322,0.026910147687034786
IBM,COMPASS,2009-07-06,2009-07-13,hold_expired,213.8558702872992,0.019380629974301934
GS,COMPASS,2009-07-06,2009-07-13,hold_expired,112.5649396725293,0.020346816113740725
QCOM,COMPASS,2009-07-06,2009-07-13,hold_expired,-115.96524815200804,-0.019689862885972766
GE,COMPASS,2009-07-09,2009-07-16,hold_expired,4053.4181150536538,0.1418042473681896
ORCL,COMPASS,2009-07-13,2009-07-20,hold_expired,385.6139376434711,0.03812740936790192
MSFT,COMPASS,2009-07-13,2009-07-20,hold_expired,797.3428713687774,0.05596272243915586
GOOG,COMPASS,2009-07-16,2009-07-23,hold_expired,-475.94647977157405,-0.01188439026639404
AAPL,COMPASS,2009-07-13,2009-07-27,hold_expired,1939.7640303459834,0.12477096940817646
GS,COMPASS,2009-07-13,2009-07-27,hold_expired,972.2133339262396,0.09656124586653914
GOOGL,COMPASS,2009-07-20,2009-07-27,hold_expired,670.1561003202983,0.0340097478525947
JNJ,COMPASS,2009-07-20,2009-07-27,hold_expired,1445.87620029434,0.037419847869852745
