symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl_pct,pnl_dollar,hold_days,exit_reason
QCOM,2006-12-27,2006-12-29,24.032129287719727,24.1728515625,1929,0.0058555891196949705,248.9977864391327,2,mean_reverted_sma
GE,2006-12-29,2007-01-03,113.09957122802734,115.40963745117188,410,0.02042506614359363,927.5693963775635,1,mean_reverted_sma
AMD,2006-12-29,2007-01-04,20.350000381469727,19.790000915527344,2281,-0.02751840075896539,-1300.2326504062653,2,mean_reverted_ibs
CMCSA,2006-12-29,2007-01-04,8.973345756530762,9.1259765625,5173,0.017009353045173148,760.4876004076003,2,mean_reverted_sma
UNH,2007-01-03,2007-01-04,40.89333724975586,41.157814025878906,1132,0.006467478418495265,278.54732992248535,1,mean_reverted_ibs
COP,2007-01-03,2007-01-05,27.24046516418457,26.932849884033203,1699,-0.01129258543484113,-544.4444534305571,2,mean_reverted_ibs
VLO,2007-01-04,2007-01-05,25.074081420898438,25.31513214111328,1841,0.009613541416274352,421.5390674819946,1,mean_reverted_ibs
CVX,2007-01-03,2007-01-08,33.9930419921875,34.222923278808594,1362,0.0067625982597829815,291.7922834381103,3,mean_reverted_sma
AXP,2007-01-04,2007-01-08,44.83670425415039,44.66459274291992,1030,-0.0038386298478781944,-197.77212374877928,2,mean_reverted_ibs
NVDA,2007-01-05,2007-01-10,0.5143441557884216,0.5331392288208008,90097,0.036541822864826434,1494.3106728976368,3,mean_reverted_sma
HD,2007-01-09,2007-01-10,24.272167205810547,24.556121826171875,1905,0.011698774895278152,518.5199736671448,1,mean_reverted_ibs
SLB,2007-01-04,2007-01-12,38.83467483520508,37.91130447387695,1189,-0.023776956167302687,-1118.5155534988405,6,mean_reverted_sma
XOM,2007-01-10,2007-01-12,36.665706634521484,37.528255462646484,1271,0.023524674888248054,1074.897455381775,2,mean_reverted_sma
COP,2007-01-10,2007-01-12,25.778377532958984,25.49873161315918,1808,-0.010848080700279206,-527.7576256652832,2,mean_reverted_ibs
AMZN,2007-01-10,2007-01-12,1.8574999570846558,1.909999966621399,25102,0.028263801211140693,1248.736882774353,2,mean_reverted_sma
CVX,2007-01-11,2007-01-12,32.90095138549805,33.6960563659668,1403,0.02416662579609219,1094.0391672225953,1,mean_reverted_sma
CAT,2007-01-16,2007-01-17,36.33308029174805,36.74399948120117,1302,0.011309781228387994,513.3835130950928,1,mean_reverted_sma
ADBE,2007-01-18,2007-01-19,38.56999969482422,38.400001525878906,1205,-0.004407523212091813,-225.80756387329103,1,mean_reverted_ibs
CSCO,2007-01-16,2007-01-24,18.143314361572266,17.399213790893555,2608,-0.04101238372712779,-1964.3692710144041,6,mean_reverted_sma
MRVL,2007-01-17,2007-01-24,16.695579528808594,16.48262596130371,2819,-0.01275508688616811,-624.65997905159,5,mean_reverted_sma
NVDA,2007-01-18,2007-01-24,0.4842415452003479,0.5024253129959106,96002,0.03755102794420395,1534.7296775655032,4,mean_reverted_sma
QCOM,2007-01-18,2007-01-24,24.620615005493164,24.703767776489258,1888,0.00337736368395114,134.5915447021484,4,mean_reverted_sma
AXP,2007-01-19,2007-01-24,43.46735382080078,44.09589767456055,1069,0.014460136136904334,651.0543564994813,3,mean_reverted_sma
AMD,2007-01-24,2007-01-26,16.030000686645508,16.219999313354492,2955,0.01185268986714827,536.4761919250487,2,mean_reverted_ibs
BAC,2007-01-25,2007-01-30,35.60375213623047,35.41351318359375,1329,-0.005343227643783366,-274.3619571762085,3,mean_reverted_ibs
DIS,2007-01-26,2007-01-30,27.948719024658203,28.345094680786133,1689,0.014182247700806005,647.0844329303742,2,mean_reverted_sma
CMCSA,2007-01-25,2007-01-31,9.21924877166748,9.401554107666016,5135,0.01977442419807507,906.7443357954024,4,mean_reverted_sma
GS,2007-01-30,2007-01-31,153.56527709960938,156.051513671875,308,0.016190095959341955,746.0724699462891,1,mean_reverted_sma
AIG,2007-01-25,2007-02-01,839.2423095703125,839.486083984375,56,0.00029046964301326916,-5.262390820312497,5,mean_reverted_sma
