date,value,cash,positions,drawdown,leverage,in_protection,risk_on,regime_score,universe_size,overlay_scalar,damped_scalar,bso_scalar,m2_scalar,fomc_scalar,fed_emergency,cash_rate_daily,v_recovery_boost
2004-11-03,94321.57493644458,27258.907430069394,3,-0.12133104273009757,0.9146758290796098,True,False,0.45877245817673007,40,1.0,1.0,1.0,1.0,1.0,0,7.619047619047618e-05,0.0
2004-11-04,95493.93991082502,16356.067399952559,4,-0.11040967388874043,0.9583613044450383,True,False,0.44202850778574726,40,1.0,1.0,1.0,1.0,1.0,0,7.698412698412698e-05,0.0
2004-11-05,95202.32447463392,9555.814678758958,5,-0.11312626795976287,0.9474949281609486,True,True,0.7081315780306399,40,1.0,1.0,1.0,1.0,1.0,0,7.896825396825397e-05,0.1
2004-11-08,95112.51658541217,9556.588244709143,5,-0.11396288889649187,0.9441484444140326,True,True,0.6994811092775369,40,1.0,1.0,1.0,1.0,1.0,0,8.095238095238096e-05,0.1
2004-11-09,94499.80496782911,17825.512868275255,5,-0.11967071002322374,0.921317159907105,True,True,0.6504710528591331,40,1.0,1.0,1.0,1.0,1.0,0,8.095238095238096e-05,0.0
2004-11-10,94424.93804598093,23552.1839132968,5,-0.12036814579227949,0.9185274168308821,True,True,0.7117710578719432,40,1.0,1.0,1.0,1.0,1.0,0,8.095238095238096e-05,0.0
2004-11-11,95632.95562801522,23554.09051866121,5,-0.1091146489132781,0.9635414043468876,True,True,0.7105507202583334,40,1.0,1.0,1.0,1.0,1.0,0,8.095238095238096e-05,0.0
2004-11-12,96174.30547590664,18110.0025092683,5,-0.10407161070398725,0.983713557184051,True,True,0.7314592113836242,40,1.0,1.0,1.0,1.0,1.0,0,8.095238095238096e-05,0.0
2004-11-15,95984.38863564738,18111.50448963514,5,-0.10584081390178207,0.9766367443928717,True,True,0.7334989604817339,40,1.0,1.0,1.0,1.0,1.0,0,8.293650793650792e-05,0.0
2004-11-16,95025.57672124007,18127.161167186998,5,-0.1147727922494497,0.9409088310022012,True,True,0.5906873373386428,40,1.0,1.0,1.0,1.0,1.0,0,8.333333333333334e-05,0.0
2004-11-17,95134.72605625162,21800.266337869933,5,-0.11375599272669021,0.9449760290932392,True,True,0.6844887410985085,40,1.0,1.0,1.0,1.0,1.0,0,8.293650793650792e-05,0.0
2004-11-18,95551.20636586289,21802.074375832082,5,-0.10987619831468885,0.9604952067412447,True,True,0.7804873803222032,40,1.0,1.0,1.0,1.0,1.0,0,8.293650793650792e-05,0.0
2004-11-19,94478.04445295858,17357.574479628885,5,-0.11987342386598804,0.9205063045360479,True,True,0.6537703836322293,40,1.0,1.0,1.0,1.0,1.0,0,8.333333333333334e-05,0.0
2004-11-22,95550.81427742114,17359.06227172714,5,-0.10987985088243382,0.9604805964702647,True,True,0.6499057230721972,40,1.0,1.0,1.0,1.0,1.0,0,8.571428571428571e-05,0.0
2004-11-23,96156.62889141176,17543.15448074179,5,-0.10423627998645713,0.9830548800541715,True,True,0.6548661048687838,40,1.0,1.0,1.0,1.0,1.0,0,8.53174603174603e-05,0.0
2004-11-24,96286.12360359503,20747.446194637567,5,-0.10302994958111024,0.987880201675559,True,True,0.649575846138708,40,1.0,1.0,1.0,1.0,1.0,0,8.492063492063493e-05,0.0
