date,symbol,action,shares,price,reason,total_score,value_score,quality_score,momentum_score,pnl_pct
2019-08-23 00:00:00-04:00,DIS,SELL_REDUCE,626,127.87445068359375,REBALANCE_REDUCE,,,,,
2019-08-23 00:00:00-04:00,VZ,SELL_REDUCE,1872,38.62776184082031,REBALANCE_REDUCE,,,,,
2019-08-23 00:00:00-04:00,BRK-B,SELL_REDUCE,490,197.16000366210938,REBALANCE_REDUCE,,,,,
2019-08-23 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,2143,38.62776184082031,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-23 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,647,127.87445068359375,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-23 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,419,197.16000366210938,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-30 00:00:00-04:00,DIS,SELL_REDUCE,842,133.30332946777344,REBALANCE_REDUCE,,,,,
2019-08-30 00:00:00-04:00,VZ,SELL_REDUCE,419,40.17509078979492,REBALANCE_REDUCE,,,,,
2019-08-30 00:00:00-04:00,BRK-B,SELL_REDUCE,575,203.41000366210938,REBALANCE_REDUCE,,,,,
2019-08-30 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,2040,40.17509078979492,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-30 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,615,133.30332946777344,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-08-30 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,403,203.41000366210938,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-06 00:00:00-04:00,DIS,SELL_REDUCE,633,135.5272979736328,REBALANCE_REDUCE,,,,,
2019-09-06 00:00:00-04:00,VZ,SELL_REDUCE,2033,40.79677963256836,REBALANCE_REDUCE,,,,,
2019-09-06 00:00:00-04:00,BRK-B,SELL_REDUCE,406,204.72999572753906,REBALANCE_REDUCE,,,,,
2019-09-06 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,2051,40.79677963256836,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-06 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,617,135.5272979736328,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-06 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,408,204.72999572753906,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-13 00:00:00-04:00,BRK-B,SELL_REDUCE,85,213.61000061035156,REBALANCE_REDUCE,,,,,
2019-09-13 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,240,41.41847610473633,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-13 00:00:00-04:00,DIS,BUY_FULL_DEPLOY,74,134.04144287109375,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-13 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,46,213.61000061035156,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-20 00:00:00-04:00,DIS,SELL_STOP,2899,128.4571533203125,STOP_LOSS,,,,,-0.028092542456892616
2019-09-20 00:00:00-04:00,VZ,BUY_ADD,62,41.646427154541016,REBALANCE_ADD,,,,,
2019-09-20 00:00:00-04:00,BRK-B,SELL_REDUCE,30,208.1199951171875,REBALANCE_REDUCE,,,,,
2019-09-20 00:00:00-04:00,VZ,BUY_FULL_DEPLOY,4304,41.646427154541016,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-20 00:00:00-04:00,BRK-B,BUY_FULL_DEPLOY,861,208.1199951171875,FULL_CAPITAL_DEPLOYMENT,,,,,
2019-09-27 00:00:00-04:00,BRK-B,SELL_REBALANCE,3359,207.4499969482422,REBALANCE_EXIT,,,,,0.022950791349068134
2019-09-27 00:00:00-04:00,VZ,SELL_REDUCE,1799,41.65333557128906,REBALANCE_REDUCE,,,,,
