date,value,cash,positions,leverage,regime_score,regime_label,drawdown
2014-09-26,131618.90137357492,28179.736156957835,5,0.9537058662704406,0.39685871054659366,BEAR,-0.0243572412760066
2014-09-29,130658.57789549493,28184.332137735815,5,0.951719472987046,0.40104843928439915,BEAR,-0.031475767852687804
2014-09-30,130248.98945675654,26717.241696659195,5,1.0,0.4220846583293936,BEAR,-0.034511897087484894
2014-10-01,131154.47676227588,22927.45077494428,5,0.9069083282463671,0.33090810583401253,BEAR,-0.027799850994355776
2014-10-02,132724.1243229522,24724.414420333327,5,0.9533293282991229,0.3372829120145726,BEAR,-0.01616462793489556
2014-10-03,135598.4279227837,24728.26044035427,5,0.8282779558359653,0.3726523468782928,BEAR,0.0
2014-10-06,136565.4998444045,24732.10705864499,5,0.8486201392648673,0.3963610850138205,BEAR,0.0
2014-10-07,133797.68491222203,76822.00010012701,3,0.7632467923801802,0.24911864570471434,SEVERE_BEAR,-0.020267307155437956
2014-10-08,135444.38141899012,43576.972837463385,5,0.664667134061685,0.3536609318960609,BEAR,-0.00820938250650213
2014-10-09,134215.1800124623,78529.75699734405,3,0.6325491696957886,0.23461393210237455,SEVERE_BEAR,-0.01721020195159106
2014-10-10,133016.63853822433,78541.97273732143,3,0.64248070539732,0.19845709908600107,SEVERE_BEAR,-0.025986514238395084
2014-10-13,133849.2619497698,78554.19037752501,3,0.6099352369410874,0.18354173171507293,SEVERE_BEAR,-0.01988963462755546
2014-10-14,133004.83190398762,78566.4099182504,3,0.6019256356087875,0.18026707969570882,SEVERE_BEAR,-0.026072968242152703
2014-10-15,132939.95691452373,54727.10094654784,3,0.6191392726842706,0.17803477965202297,SEVERE_BEAR,-0.026548014937971227
2014-10-16,131389.35070015717,54735.61405113953,3,0.620914172192199,0.17641215727232717,SEVERE_BEAR,-0.03790231903478368
2014-10-17,132705.2615829531,54744.12847999193,3,0.6151943055878825,0.18404567383186005,SEVERE_BEAR,-0.028266570003767737
2014-10-20,133103.32358234085,54752.64423331104,3,0.5799052845093565,0.19004431818439588,SEVERE_BEAR,-0.025351763556742107
2014-10-21,134801.89583443696,54761.16131130289,3,0.5387298546748621,0.20832062385383812,SEVERE_BEAR,-0.012913979094111523
2014-10-22,135737.35835417543,59724.0856966108,3,0.5892660284515151,0.20188130883503796,SEVERE_BEAR,-0.006064060770638242
